"user_id","country","gender","device","test_group","conversion","total_spent"
"1013758","USA","Male","Android","Treatment","1","163.06"
"1013176","Turkey","Female","Android","Control","1","162.87"
"1042411","USA","Female","iOS","Treatment","1","162.86"
"1005712","France","","iOS","Control","1","162.60"
"1020700","USA","Female","Android","Treatment","1","161.94"
"1040844","Brazil","","iOS","Control","1","161.80"
"1039909","Brazil","","iOS","Treatment","1","161.54"
"1004325","Brazil","Male","Android","Treatment","1","161.46"
"1042745","Canada","Female","Android","Control","1","161.44"
"1004078","USA","Female","Android","Treatment","1","160.82"
"1011701","Mexico","Female","iOS","Control","1","160.76"
"1049834","USA","Female","iOS","Control","1","160.35"
"1047770","Germany","Female","Android","Treatment","1","160.31"
"1017857","USA","Male","iOS","Treatment","1","159.66"
"1032604","Mexico","Female","iOS","Control","1","159.02"
"1009105","Brazil","Female","iOS","Control","1","158.77"
"1024982","Mexico","","iOS","Control","1","158.55"
"1043062","France","Male","iOS","Control","1","158.36"
"1028100","USA","","Android","Treatment","1","157.15"
"1009201","USA","Female","Android","Control","1","157.13"
"1032254","Brazil","Male","iOS","Control","1","156.76"
"1007502","Germany","Female","Android","Control","1","156.73"
"1026180","Spain","Male","Android","Treatment","1","156.72"
"1024176","Mexico","Female","iOS","Treatment","1","156.46"
"1012099","Brazil","Female","Android","Control","1","155.52"
"1022336","Germany","","iOS","Treatment","1","155.32"
"1027837","USA","Female","Android","Treatment","1","155.15"
"1014511","USA","Male","iOS","Treatment","1","154.95"
"1018562","Mexico","Female","iOS","Treatment","1","154.70"
"1037691","USA","Male","Android","Treatment","1","154.34"
"1011746","Brazil","Female","Android","Treatment","1","154.22"
"1009627","Australia","Female","iOS","Control","1","153.94"
"1041356","Brazil","","iOS","Control","1","153.93"
"1027361","USA","Male","iOS","Control","1","153.84"
"1041445","Australia","Female","Android","Treatment","1","153.55"
"1008885","Canada","Female","Android","Treatment","1","152.41"
"1015896","USA","Male","Android","Treatment","1","152.40"
"1030291","USA","Male","iOS","Treatment","1","152.35"
"1011474","USA","Female","Android","Control","1","152.09"
"1042936","USA","Female","iOS","Control","1","151.75"
"1043407","","Male","iOS","Treatment","1","151.43"
"1041210","Spain","Female","iOS","Control","1","151.30"
"1014011","Germany","Male","iOS","Treatment","1","150.72"
"1001855","USA","","Android","Control","1","150.59"
"1025404","France","Male","iOS","Control","1","149.98"
"1030777","Mexico","","iOS","Control","1","149.96"
"1006799","France","Male","iOS","Control","1","149.82"
"1025470","Turkey","Female","iOS","Control","1","149.69"
"1008965","USA","","iOS","Treatment","1","149.41"
"1012567","Brazil","Male","Android","Control","1","148.60"
"1030319","Turkey","Female","iOS","Treatment","1","148.00"
"1005084","USA","Male","iOS","Control","1","147.63"
"1042285","Mexico","Other","iOS","Treatment","1","147.55"
"1044255","Turkey","Female","iOS","Control","1","147.24"
"1012594","USA","","iOS","Control","1","147.18"
"1008409","France","Female","Android","Control","1","147.05"
"1033604","USA","Male","Android","Control","1","147.00"
"1043919","Mexico","Other","Android","Control","1","146.86"
"1045058","USA","Female","iOS","Treatment","1","146.78"
"1028308","Mexico","Male","iOS","Control","1","145.69"
"1004782","USA","Male","Android","Control","1","145.60"
"1013110","USA","","iOS","Treatment","1","145.11"
"1019756","USA","Male","iOS","Treatment","1","144.98"
"1004843","Brazil","","Android","Treatment","1","144.72"
"1025152","Turkey","","Android","Control","1","144.53"
"1047709","Canada","","Android","Control","1","144.48"
"1011950","USA","Male","Android","Control","1","144.11"
"1010396","Canada","Female","Android","Control","1","143.86"
"1012366","Turkey","","iOS","Control","1","143.61"
"1037062","Germany","Male","iOS","Control","1","142.72"
"1015705","Brazil","Male","Android","Treatment","1","142.70"
"1015992","USA","Female","Android","Control","1","142.69"
"1049473","USA","Male","Android","Treatment","1","142.59"
"1015342","United Kingdom","Male","iOS","Treatment","1","142.35"
"1018970","USA","Male","iOS","Control","1","142.11"
"1008723","France","Male","iOS","Treatment","1","141.28"
"1022206","Brazil","Male","iOS","Control","1","141.18"
"1049009","Brazil","Male","iOS","Control","1","140.57"
"1014895","USA","Male","iOS","Control","1","140.24"
"1019002","Brazil","Female","Android","Control","1","140.03"
"1014515","USA","Male","iOS","Treatment","1","139.73"
"1003127","Mexico","Male","iOS","Treatment","1","139.73"
"1044992","","Female","iOS","Treatment","1","139.33"
"1035407","United Kingdom","Male","iOS","Treatment","1","139.24"
"1014367","France","Male","Android","Treatment","1","138.92"
"1036452","Germany","Male","iOS","Control","1","138.89"
"1022602","USA","Male","iOS","Control","1","138.70"
"1040145","Canada","Other","iOS","Treatment","1","138.39"
"1001962","Mexico","Female","Android","Treatment","1","138.38"
"1029147","Mexico","","Android","Treatment","1","138.27"
"1019808","Mexico","Female","Android","Treatment","1","137.73"
"1025708","Mexico","","Android","Control","1","137.41"
"1026684","USA","","iOS","Control","1","137.10"
"1026343","Australia","Male","iOS","Treatment","1","136.80"
"1007616","Australia","Female","Android","Control","1","136.76"
"1046409","USA","Male","Android","Control","1","136.63"
"1036075","Brazil","Male","iOS","Control","1","136.40"
"1011467","France","Female","iOS","Control","1","136.01"
"1041137","USA","","Android","Control","1","135.91"
"1033728","USA","Male","Android","Control","1","135.82"
"1027512","USA","Female","Android","Treatment","1","135.66"
"1008392","USA","Female","Android","Treatment","1","135.50"
"1003061","USA","Female","iOS","Treatment","1","135.31"
"1020275","Turkey","Female","iOS","Treatment","1","134.49"
"1010347","USA","Female","Android","Control","1","134.42"
"1043711","USA","Female","Android","Treatment","1","134.19"
"1033161","USA","Female","Android","Control","1","134.09"
"1020890","USA","Male","Android","Treatment","1","133.03"
"1041838","Brazil","Female","iOS","Control","1","132.64"
"1048842","Mexico","Female","iOS","Control","1","132.19"
"1036182","Turkey","Female","Android","Control","1","132.00"
"1019805","United Kingdom","Male","iOS","Treatment","1","131.69"
"1048515","Brazil","Male","iOS","Treatment","1","131.65"
"1021595","USA","Female","iOS","Control","1","131.61"
"1014150","Brazil","Female","iOS","Treatment","1","131.33"
"1012693","Mexico","Female","iOS","Control","1","130.81"
"1023067","USA","Female","iOS","Control","1","130.77"
"1027184","Canada","Female","iOS","Control","1","130.19"
"1020176","France","Other","iOS","Treatment","1","130.18"
"1036549","USA","Female","Android","Treatment","1","130.07"
"1026374","Brazil","Female","iOS","Control","1","129.68"
"1045538","Australia","Female","iOS","Control","1","129.67"
"1017715","Canada","Male","Android","Treatment","1","129.62"
"1020643","Turkey","Female","Android","Control","1","128.92"
"1004772","Canada","Male","Android","Treatment","1","128.91"
"1022824","Brazil","Female","iOS","Control","1","128.88"
"1019868","USA","Female","iOS","Control","1","128.74"
"1023987","USA","Female","iOS","Treatment","1","128.66"
"1032141","USA","Male","iOS","Control","1","128.52"
"1020801","Mexico","Female","Android","Control","1","128.37"
"1032466","Brazil","Female","iOS","Control","1","128.10"
"1039062","United Kingdom","Male","iOS","Control","1","127.82"
"1024160","Germany","","Android","Control","1","127.76"
"1042396","United Kingdom","","iOS","Treatment","1","127.74"
"1042741","USA","","Android","Treatment","1","127.55"
"1028764","USA","","iOS","Treatment","1","126.94"
"1035194","USA","Female","Android","Control","1","126.86"
"1001811","France","Other","Android","Control","1","126.86"
"1036125","Brazil","Female","iOS","Control","1","126.81"
"1017694","USA","Female","Android","Treatment","1","126.78"
"1001501","Brazil","Female","Android","Treatment","1","126.67"
"1028313","France","Female","Android","Control","1","126.60"
"1033981","United Kingdom","Female","Android","Treatment","1","126.51"
"1030836","USA","Female","Android","Control","1","126.30"
"1002316","USA","Male","iOS","Control","1","126.25"
"1037494","Spain","Female","Android","Control","1","125.92"
"1009254","USA","Female","iOS","Treatment","1","125.90"
"1002550","Brazil","Male","iOS","Treatment","1","125.83"
"1038733","Mexico","Female","Android","Treatment","1","125.78"
"1041865","USA","","iOS","Treatment","1","125.46"
"1047635","Germany","Female","Android","Treatment","1","125.30"
"1045618","Spain","Female","iOS","Control","1","124.86"
"1019970","Brazil","","iOS","Control","1","124.22"
"1014804","Mexico","Male","iOS","Treatment","1","124.16"
"1022989","France","","Android","Control","1","124.12"
"1027505","USA","","Android","Control","1","123.72"
"1008920","Germany","","Android","Treatment","1","123.70"
"1041617","Australia","Other","iOS","Treatment","1","123.55"
"1009337","Mexico","Male","iOS","Treatment","1","123.50"
"1031254","Brazil","Male","iOS","Control","1","123.25"
"1027244","USA","Female","iOS","Control","1","123.11"
"1027350","","Male","iOS","Treatment","1","122.87"
"1031596","Turkey","","iOS","Control","1","122.85"
"1049729","USA","Female","Android","Treatment","1","122.73"
"1029326","USA","","Android","Treatment","1","122.58"
"1001827","USA","Female","iOS","Treatment","1","122.48"
"1000937","United Kingdom","Female","","Treatment","1","122.28"
"1024139","Brazil","Female","Android","Control","1","121.86"
"1027166","Mexico","Female","iOS","Control","1","121.84"
"1021715","USA","Female","Android","Control","1","121.63"
"1034831","USA","Female","Android","Treatment","1","121.52"
"1046160","Turkey","Female","iOS","Treatment","1","121.41"
"1018575","Spain","","iOS","Treatment","1","121.37"
"1029235","Canada","Female","Android","Treatment","1","121.26"
"1010783","Mexico","Female","iOS","Control","1","121.18"
"1008105","Brazil","Male","iOS","Control","1","121.02"
"1036611","Mexico","Female","Android","Control","1","120.98"
"1046450","Mexico","Female","iOS","Treatment","1","120.68"
"1015971","USA","Female","Android","Control","1","120.20"
"1016262","Germany","Female","Android","Treatment","1","119.85"
"1005045","France","Female","Android","Treatment","1","119.72"
"1049097","USA","Male","Android","Control","1","119.64"
"1010894","Germany","Male","iOS","Control","1","119.33"
"1022263","France","","iOS","Control","1","119.33"
"1010452","USA","","Android","Treatment","1","119.04"
"1048273","France","Female","Android","Control","1","118.99"
"1006239","Brazil","Female","Android","Control","1","118.93"
"1020004","USA","","iOS","Control","1","118.66"
"1023121","Spain","","iOS","Control","1","118.18"
"1000579","Brazil","Male","Android","Treatment","1","117.79"
"1018321","USA","Male","iOS","Control","1","117.39"
"1024063","Turkey","Female","Android","Control","1","117.23"
"1006366","Mexico","Female","iOS","Treatment","1","116.95"
"1040522","Brazil","Female","Android","Control","1","116.72"
"1002664","USA","Female","iOS","Control","1","116.63"
"1010625","USA","Female","Android","Treatment","1","116.40"
"1027543","Germany","Female","Android","Treatment","1","116.40"
"1000269","USA","Male","Android","Control","1","116.29"
"1022082","Brazil","Female","Android","Control","1","116.28"
"1004897","Brazil","Female","iOS","Treatment","1","116.22"
"1030815","Mexico","Female","iOS","Treatment","1","116.19"
"1024055","USA","Male","iOS","Control","1","116.08"
"1035202","Brazil","","Android","Control","1","116.01"
"1001946","USA","Male","iOS","Control","1","115.92"
"1034464","USA","","iOS","Treatment","1","115.61"
"1048757","Turkey","Male","iOS","Control","1","115.44"
"1027669","Spain","Other","Android","Control","1","115.40"
"1047570","Turkey","","iOS","Treatment","1","115.09"
"1045759","Mexico","Male","Android","Treatment","1","115.07"
"1044072","USA","Female","iOS","Treatment","1","114.80"
"1000930","Germany","Female","Android","Control","1","114.56"
"1045330","Mexico","Male","iOS","Treatment","1","114.48"
"1030017","USA","","Android","Control","1","114.33"
"1023700","Spain","Female","iOS","Treatment","1","114.17"
"1005593","United Kingdom","Female","iOS","Treatment","1","114.15"
"1016374","Brazil","Female","iOS","Control","1","114.12"
"1016632","USA","","Android","Control","1","114.09"
"1013108","Canada","Male","iOS","Control","1","113.85"
"1015130","USA","Male","Android","Control","1","113.67"
"1015035","Mexico","","Android","Treatment","1","113.51"
"1013141","USA","Male","Android","Control","1","112.67"
"1015640","Germany","Female","Android","Treatment","1","112.49"
"1008910","USA","","Android","Control","1","112.14"
"1020099","USA","Male","iOS","Treatment","1","112.01"
"1044813","USA","Female","Android","Control","1","111.98"
"1021607","United Kingdom","Male","iOS","Control","1","111.95"
"1027106","United Kingdom","Female","iOS","Control","1","111.82"
"1002751","Brazil","Female","iOS","Treatment","1","111.81"
"1034638","USA","Male","Android","Control","1","111.76"
"1007782","USA","Male","iOS","Control","1","111.73"
"1039816","Germany","Male","iOS","Control","1","111.66"
"1026141","USA","Female","iOS","Treatment","1","111.63"
"1009906","USA","Male","iOS","Control","1","111.60"
"1031823","Mexico","Female","iOS","Treatment","1","111.57"
"1016532","USA","Female","Android","Treatment","1","111.43"
"1023027","USA","Female","iOS","Control","1","111.38"
"1035069","Mexico","Female","Android","Control","1","111.25"
"1017184","USA","Female","iOS","Control","1","111.05"
"1001833","Brazil","Female","Android","Treatment","1","111.02"
"1041435","United Kingdom","Female","iOS","Control","1","110.96"
"1044839","USA","Female","iOS","Treatment","1","110.70"
"1031157","USA","Female","Android","Control","1","110.67"
"1016124","Spain","Female","Android","Treatment","1","110.66"
"1019212","Germany","Female","iOS","Control","1","110.35"
"1008410","Mexico","Female","iOS","Treatment","1","110.19"
"1047661","Germany","Female","Android","Control","1","110.17"
"1013944","USA","Female","Android","Treatment","1","110.15"
"1013360","USA","Male","iOS","Treatment","1","110.08"
"1044238","Brazil","Female","iOS","Control","1","109.89"
"1023930","France","","iOS","Treatment","1","109.78"
"1031053","France","Male","iOS","Control","1","109.69"
"1048857","USA","Other","Android","Control","1","109.67"
"1046264","Canada","Female","Android","Treatment","1","109.60"
"1036803","USA","Male","Android","Treatment","1","109.58"
"1031239","France","","Android","Treatment","1","109.53"
"1028834","USA","Female","iOS","Control","1","109.28"
"1042287","Germany","Female","iOS","Control","1","109.23"
"1031218","Turkey","Female","Android","Control","1","109.20"
"1002535","Mexico","Male","Android","Control","1","109.17"
"1022510","Turkey","","Android","Control","1","109.02"
"1026021","United Kingdom","Male","iOS","Treatment","1","108.95"
"1026601","","Male","Android","Treatment","1","108.21"
"1017400","USA","Female","Android","Treatment","1","107.98"
"1014608","USA","Female","Android","Treatment","1","107.89"
"1001728","Mexico","Male","iOS","Treatment","1","107.63"
"1034864","Mexico","","iOS","Control","1","107.53"
"1037457","USA","Female","Android","Control","1","107.42"
"1038379","USA","Male","Android","Treatment","1","107.36"
"1010394","Mexico","Female","Android","Treatment","1","107.22"
"1025321","Brazil","Male","Android","Treatment","1","107.21"
"1037385","Turkey","Female","Android","Control","1","106.92"
"1005563","USA","Female","iOS","Control","1","106.92"
"1011035","USA","","Android","Control","1","106.67"
"1001477","USA","Male","iOS","Treatment","1","106.65"
"1020019","USA","Female","Android","Control","1","106.58"
"1034029","Mexico","","iOS","Control","1","106.53"
"1009074","Brazil","Female","Android","Control","1","106.38"
"1032588","USA","","Android","Treatment","1","106.32"
"1025044","Mexico","Female","iOS","Treatment","1","106.30"
"1026380","Germany","Female","iOS","Control","1","106.14"
"1045583","USA","Male","iOS","Control","1","105.74"
"1004313","USA","","iOS","Control","1","105.71"
"1031763","Mexico","","Android","Control","1","105.70"
"1028154","USA","Female","iOS","Treatment","1","105.69"
"1024005","USA","Female","Android","Control","1","105.64"
"1039543","Canada","Male","Android","Treatment","1","105.55"
"1003347","USA","Other","iOS","Treatment","1","105.51"
"1014480","Turkey","Female","iOS","Control","1","105.50"
"1001934","USA","Male","Android","Control","1","105.29"
"1023449","USA","Female","Android","Control","1","105.21"
"1037141","France","Female","Android","Treatment","1","105.19"
"1012037","USA","Male","iOS","Treatment","1","105.09"
"1011998","Canada","Male","Android","Treatment","1","105.03"
"1036896","Germany","Male","iOS","Treatment","1","104.88"
"1040474","Mexico","Female","Android","Treatment","1","104.86"
"1012178","Mexico","Female","iOS","Treatment","1","104.85"
"1027240","Canada","Male","Android","Treatment","1","104.73"
"1035953","France","Female","iOS","Treatment","1","104.70"
"1007619","France","Female","Android","Treatment","1","104.65"
"1020804","USA","Male","iOS","Control","1","104.60"
"1007297","Mexico","Other","iOS","Control","1","104.43"
"1016200","USA","Female","iOS","Control","1","104.05"
"1022815","Germany","Male","iOS","Treatment","1","103.49"
"1014323","USA","Female","Android","Control","1","103.44"
"1007625","USA","Female","iOS","Control","1","103.38"
"1027602","United Kingdom","Female","iOS","Treatment","1","103.23"
"1022166","Brazil","Other","Android","Treatment","1","103.08"
"1022253","Brazil","Male","iOS","Control","1","103.07"
"1031240","Germany","Female","Android","Control","1","103.06"
"1013084","Turkey","","iOS","Treatment","1","102.98"
"1045885","Turkey","Male","iOS","Control","1","102.81"
"1022374","USA","Female","iOS","Control","1","102.79"
"1009065","Germany","Female","Android","Control","1","102.57"
"1003395","Spain","Female","iOS","Control","1","102.44"
"1045726","Canada","Female","Android","Control","1","102.38"
"1021165","Turkey","Female","iOS","Treatment","1","102.04"
"1017725","United Kingdom","Male","Android","Treatment","1","101.85"
"1019834","United Kingdom","Male","Android","Treatment","1","101.83"
"1020593","Brazil","Female","Android","Control","1","101.78"
"1001137","USA","Male","iOS","Treatment","1","101.75"
"1026581","United Kingdom","Female","Android","Treatment","1","101.56"
"1009476","USA","Female","iOS","Control","1","101.56"
"1015294","Turkey","Male","iOS","Control","1","101.47"
"1007778","United Kingdom","Male","iOS","Treatment","1","101.27"
"1024704","Turkey","Male","iOS","Treatment","1","101.16"
"1009672","Mexico","Male","Android","Treatment","1","101.10"
"1042306","USA","Female","iOS","Control","1","100.80"
"1000123","Germany","","iOS","Treatment","1","100.74"
"1047459","Spain","Female","iOS","Treatment","1","100.72"
"1006127","USA","Female","iOS","Treatment","1","100.34"
"1019649","Brazil","Male","iOS","Control","1","100.30"
"1013416","Brazil","Female","iOS","Control","1","100.17"
"1013686","Canada","Male","iOS","Treatment","1","99.87"
"1031208","Canada","Male","iOS","Control","1","99.60"
"1008546","USA","Female","iOS","Treatment","1","99.41"
"1044459","USA","Female","Android","Control","1","99.26"
"1047241","USA","Female","Android","Control","1","99.13"
"1047007","USA","Female","iOS","Treatment","1","99.13"
"1007038","Spain","Female","Android","Treatment","1","99.02"
"1032608","USA","Female","Android","Control","1","98.87"
"1047196","Germany","","iOS","Control","1","98.66"
"1022788","USA","Male","Android","Control","1","98.46"
"1018689","Mexico","Male","iOS","Treatment","1","98.44"
"1011169","Brazil","Male","iOS","Treatment","1","98.37"
"1033706","United Kingdom","Male","iOS","Control","1","98.17"
"1043855","USA","Female","iOS","Control","1","98.13"
"1034257","Turkey","Male","Android","Treatment","1","97.92"
"1043573","Turkey","Female","Android","Treatment","1","97.69"
"1004076","France","Female","iOS","Control","1","97.68"
"1040335","Mexico","Male","iOS","Control","1","97.67"
"1044777","Spain","Female","Android","Control","1","97.66"
"1047512","USA","Male","Android","Control","1","97.59"
"1011123","Mexico","Male","iOS","Treatment","1","97.58"
"1047163","USA","Female","iOS","Control","1","97.57"
"1039797","United Kingdom","Female","Android","Treatment","1","97.49"
"1012338","USA","","iOS","Control","1","97.48"
"1042915","USA","","iOS","Treatment","1","97.38"
"1030647","USA","Female","Android","Treatment","1","97.33"
"1026739","USA","","iOS","Treatment","1","97.32"
"1036624","USA","Female","Android","Control","1","96.96"
"1009333","Mexico","Male","iOS","Control","1","96.79"
"1042128","Brazil","Female","iOS","Control","1","96.73"
"1007403","USA","Male","Android","Treatment","1","96.62"
"1032121","USA","Male","iOS","Treatment","1","96.59"
"1035289","France","Female","Android","Treatment","1","96.56"
"1016063","United Kingdom","Female","iOS","Treatment","1","96.46"
"1042359","Mexico","Female","iOS","Control","1","96.44"
"1020891","USA","Male","","Treatment","1","96.40"
"1039274","Turkey","Female","Android","Treatment","1","96.09"
"1049315","Brazil","Female","Android","Treatment","1","96.08"
"1031692","France","Female","iOS","Control","1","96.00"
"1044458","USA","Female","Android","Treatment","1","95.93"
"1026007","Spain","Female","iOS","Control","1","95.88"
"1038929","Turkey","Male","iOS","Treatment","1","95.84"
"1021915","Mexico","","iOS","Treatment","1","95.70"
"1011070","USA","Male","Android","Control","1","95.67"
"1046778","USA","Female","iOS","Control","1","95.62"
"1007688","USA","Female","iOS","Control","1","95.57"
"1038825","USA","Male","Android","Control","1","95.56"
"1039936","USA","Male","Android","Treatment","1","95.47"
"1044533","USA","Female","iOS","Control","1","95.41"
"1024162","USA","Female","iOS","Treatment","1","95.39"
"1006564","USA","Male","iOS","Treatment","1","95.25"
"1037910","Turkey","Female","iOS","Control","1","95.12"
"1035682","USA","Male","Android","Control","1","95.11"
"1047127","United Kingdom","Female","iOS","Control","1","95.05"
"1012662","Brazil","Female","iOS","Treatment","1","95.02"
"1004241","Germany","Male","Android","Control","1","95.01"
"1022103","France","Female","iOS","Control","1","94.90"
"1036756","","Male","iOS","Treatment","1","94.80"
"1017718","","Female","iOS","Treatment","1","94.41"
"1045978","Canada","Male","iOS","Treatment","1","94.39"
"1028576","France","Female","Android","Control","1","94.36"
"1016359","USA","Male","iOS","Control","1","94.34"
"1037261","USA","Male","iOS","Treatment","1","94.34"
"1021929","Turkey","Female","iOS","Treatment","1","94.16"
"1040687","Canada","Female","Android","Control","1","94.11"
"1047003","USA","Female","Android","Treatment","1","94.07"
"1038380","USA","","iOS","Control","1","94.05"
"1020394","USA","","iOS","Control","1","94.03"
"1003914","Spain","Female","iOS","Treatment","1","93.94"
